Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
R$ 700.000,Caraguatatuba,Jardim Gaivotas,Rua Uirapuru,N/I,"3
              

                Quartos","4
              

                Banheiros","122
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 122m²"
"R$ 500.000
                    



                  Condomínio:
                  
                      R$ 480",Caraguatatuba,Martim de Sa,Avenida Nilo Braga Garcez,1014,"2
              

                Quartos","2
              

                Banheiros","56
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 56m²"
"R$ 419.800
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Praia Das Palmeiras,Avenida Domingos Martins Cabrera,345,"3
              

                Quartos","2
              

                Banheiros","135
              

                m²","2
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 135m²"
R$ 380.000,Caraguatatuba,Morro Do Algodao,Rua Doze,N/I,"2
              

                Quartos","1
              

                Banheiro","72
              

                m²","5
                

                  Vagas","Casa com 2 Quartos à Venda, 72m²"
R$ 315.000,Caraguatatuba,Morro Do Algodao,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","30
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 30m²"
"R$ 499.640
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Pontal de Santa Marina,Avenida dos Eder Silva Rodrigues Alves,100,"3
              

                Quartos","3
              

                Banheiros","111
              

                m²","2
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 111m²"
R$ 420.000,Caraguatatuba,Jardim Gaivotas,Rua Saíra,N/I,"2
              

                Quartos","1
              

                Banheiro","60
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 60m²"
R$ 320.000,Caraguatatuba,GOLFINHO,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","68
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 68m²"
"R$ 599.860
                    



                  Condomínio:
                  
                      R$ 250",Caraguatatuba,Martim de Sa,Rua Caúna,190,"2
              

                Quartos","3
              

                Banheiros","64
              

                m²","2
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 64m²"
"R$ 480.000
                    



                  Condomínio:
                  
                      R$ 350",Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 90m²"
R$ 375.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","69
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 69m²"
"R$ 449.440
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Massaguaçu,Travessa Gertrudes Francisca de Jesus,100,"2
              

                Quartos","2
              

                Banheiros","70
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 70m²"
"R$ 219.150
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Jardim Casa Branca,Avenida Emiliano Campedelli,24,"3
              

                Quartos","3
              

                Banheiros","81
              

                m²","1
                

                  Vaga","Casa com 3 Quartos à Venda, 81m²"
"R$ 459.030
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Balneário dos Golfinhos,Alameda das Sépias,13,"3
              

                Quartos","3
              

                Banheiros","102
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 102m²"
R$ 530.000,Caraguatatuba,Praia Das Palmeiras,Avenida Duque de Caxias,N/I,"2
              

                Quartos","2
              

                Banheiros","92
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 92m²"
R$ 525.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Alice Arouca,N/I,"3
              

                Quartos","3
              

                Banheiros","108
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 108m²"
R$ 320.000,Caraguatatuba,GOLFINHO,Avenida Pedro Reginaldo da Costa,567,"2
              

                Quartos","2
              

                Banheiros","58
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 58m²"
R$ 410.000,Caraguatatuba,Pereque Mirim,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","10
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 10m²"
R$ 520.000,Caraguatatuba,Praia Das Palmeiras,Avenida Duque de Caxias,550,"2
              

                Quartos","2
              

                Banheiros","105
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 105m²"
R$ 535.000,Caraguatatuba,Capricórnio III,Rua Dois,40,"2
              

                Quartos","1
              

                Banheiro","97
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 97m²"
"R$ 530.000
                    



                  Condomínio:
                  
                      R$ 720",Caraguatatuba,Loteamento Balneario Camburi,Rua Doutor Antonio Roberto Almeida,15,"1
              

                Quarto","1
              

                Banheiro","51
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 51m²"
"R$ 600.000
                    



                  Condomínio:
                  
                      R$ 460",Caraguatatuba,Jardim Britânia,Avenida José Herculano,2560,"2
              

                Quartos","1
              

                Banheiro","95
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 95m²"
"R$ 559.380
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Martim de Sa,Rua Violeta,100,"2
              

                Quartos","2
              

                Banheiros","103
              

                m²","5
                

                  Vagas","Casa com 2 Quartos à Venda, 103m²"
"R$ 485.000
                        
Preço abaixo do mercado",Caraguatatuba,Balneario Gardem Mar,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","145
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 145m²"
"R$ 529.830
                    



                  Condomínio:
                  
                      R$ 360",Caraguatatuba,Jardim Britânia,Rua Joanna Medeiros do Rosário,100,"2
              

                Quartos","3
              

                Banheiros","82
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 82m²"
R$ 590.000,Caraguatatuba,Massaguaçu,Rua Benedito Francisco Paula,98,"2
              

                Quartos","2
              

                Banheiros","72
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 72m²"
R$ 275.000,Caraguatatuba,Balneário dos Golfinhos,Alameda Alfredo Carlos Rokita,643,"--
              

                Quarto","2
              

                Banheiros","64
              

                m²","1
                

                  Vaga","Ponto comercial/Loja/Box    à Venda, 64m²"
"R$ 229.360
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 315",Caraguatatuba,Jardim Mariella,Avenida Um,100,"1
              

                Quarto","1
              

                Banheiro","51
              

                m²","2
                

                  Vagas","Casa de condomínio com  Quarto à Venda, 51m²"
"R$ 390.000
                        
Preço abaixo do mercado",Caraguatatuba,Parque Balneario Poiares,Avenida General Osório,765,"2
              

                Quartos","2
              

                Banheiros","106
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 106m²"
R$ 390.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,34,"2
              

                Quartos","3
              

                Banheiros","74
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 74m²"
R$ 900.000,Caraguatatuba,Martim de Sa,Rua Luiz Lyria Martinez,480,"3
              

                Quartos","2
              

                Banheiros","115
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 115m²"
R$ 520.000,Caraguatatuba,GOLFINHO,Rua J,N/I,"2
              

                Quartos","2
              

                Banheiros","105
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 105m²"
R$ 699.000,Caraguatatuba,Pontal de Santa Marina,Rua Pastor Regivaldo Francisco Paulino,164,"3
              

                Quartos","2
              

                Banheiros","123
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 123m²"
R$ 489.760,Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","61
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 61m²"
"R$ 470.000
                    



                  Condomínio:
                  
                      R$ 100",Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","110
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 110m²"
R$ 350.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Manoel Avelino dos Santos,200,"2
              

                Quartos","2
              

                Banheiros","70
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 70m²"
"R$ 319.450
                    



                  Condomínio:
                  
                      R$ 320",Caraguatatuba,Martim de Sa,Avenida Fioravante Paschoalim,100,"2
              

                Quartos","2
              

                Banheiros","68
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 68m²"
R$ 750.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","168
              

                m²","--
                

                  Vaga","Casa com 3 Quartos à Venda, 168m²"
R$ 400.000,Caraguatatuba,Pontal de Santa Marina,Avenida Francisco Garrido,2,"2
              

                Quartos","3
              

                Banheiros","65
              

                m²","6
                

                  Vagas","Casa com 2 Quartos à Venda, 65m²"
R$ 350.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,2087,"2
              

                Quartos","2
              

                Banheiros","66
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 66m²"
R$ 410.000,Caraguatatuba,Jardim do Sol,Rua Dezoito,N/I,"2
              

                Quartos","1
              

                Banheiro","70
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 70m²"
"R$ 369.340
                    



                  Condomínio:
                  
                      R$ 150",Caraguatatuba,Jardim do Sol,Rua Antônio de Lucca,100,"2
              

                Quartos","2
              

                Banheiros","75
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 75m²"
R$ 280.000,Caraguatatuba,Balneario Recanto do Sol,Avenida Alice Arouca,1045,"2
              

                Quartos","1
              

                Banheiro","60
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 60m²"
R$ 525.000,Caraguatatuba,GOLFINHO,Avenida Pedro Reginaldo da Costa,2,"2
              

                Quartos","3
              

                Banheiros","108
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 108m²"
R$ 495.000,Caraguatatuba,Jardim Mariella,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","99
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 99m²"
R$ 490.000,Caraguatatuba,GOLFINHO,Avenida Pedro Reginaldo da Costa,1001,"2
              

                Quartos","3
              

                Banheiros","92
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 92m²"
"R$ 759.510
                    



                  Condomínio:
                  
                      R$ 680",Caraguatatuba,Martim de Sa,Rua Bartolomeu Bueno da Silva,100,"3
              

                Quartos","2
              

                Banheiros","95
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 95m²"
R$ 290.000,Caraguatatuba,GOLFINHO,Avenida Pedro Reginaldo da Costa,1234,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
"R$ 480.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 90m²"
R$ 550.000,Caraguatatuba,Balneario Recanto do Sol,Avenida Domingos Martins Cabrera,N/I,"3
              

                Quartos","2
              

                Banheiros","95
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 95m²"
R$ 525.000,Caraguatatuba,GOLFINHO,Avenida Pedro Reginaldo da Costa,190,"3
              

                Quartos","3
              

                Banheiros","108
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 108m²"
"R$ 400.000
                    



                  Condomínio:
                  
                      R$ 280",Caraguatatuba,Martim de Sa,Rua Paty,N/I,"2
              

                Quartos","2
              

                Banheiros","68
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 68m²"
R$ 500.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","175
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 175m²"
"R$ 510.600
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Pontal de Santa Marina,Rua Antônio Carlos Quental Simas,353,"2
              

                Quartos","3
              

                Banheiros","101
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 101m²"
R$ 520.000,Caraguatatuba,Praia Das Palmeiras,Avenida Duque de Caxias,550,"2
              

                Quartos","2
              

                Banheiros","105
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 105m²"
"R$ 359.090
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Balneario Gardem Mar,Rua S,100,"2
              

                Quartos","3
              

                Banheiros","80
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 80m²"
"R$ 578.890
                    



                  Condomínio:
                  
                      R$ 590",Caraguatatuba,Centro,Rua Engenheiro João Fonseca,371,"2
              

                Quartos","1
              

                Banheiro","74
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 74m²"
R$ 498.000,Caraguatatuba,Loteamento Balneario Camburi,Rua Adaly Coelho Passos,N/I,"2
              

                Quartos","1
              

                Banheiro","102
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 102m²"
R$ 520.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,55,"2
              

                Quartos","3
              

                Banheiros","105
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 105m²"
R$ 290.000,Caraguatatuba,Balneário dos Golfinhos,Rua Inácio Batista de Faria,2000,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
R$ 550.000,Caraguatatuba,Balneario Recanto do Sol,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","120
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 120m²"
R$ 669.000,Caraguatatuba,Balneario Copacabana,Rua Reverendo Takeo Monobe,1234,"3
              

                Quartos","2
              

                Banheiros","144
              

                m²","1
                

                  Vaga","Casa com 3 Quartos à Venda, 144m²"
R$ 345.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,1704,"2
              

                Quartos","1
              

                Banheiro","66
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 66m²"
"R$ 435.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","97
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 97m²"
"R$ 290.000
                        
Preço abaixo do mercado",Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,100,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
R$ 495.000,Caraguatatuba,Capricórnio III,Rua Dois,40,"2
              

                Quartos","1
              

                Banheiro","97
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 97m²"
"R$ 498.000
                        
Preço abaixo do mercado",Caraguatatuba,Prainha,Rua Águas de São Pedro,270,"2
              

                Quartos","3
              

                Banheiros","116
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 116m²"
R$ 700.000,Caraguatatuba,Jardim Das Gaivotas,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","122
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 122m²"
R$ 1.050.000,Caraguatatuba,Mar Verde II,Avenida Dois,50,"3
              

                Quartos","1
              

                Banheiro","90
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 90m²"
"R$ 550.000
                    



                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Martim de Sa,Avenida Nilo Braga Garcez,1014,"2
              

                Quartos","1
              

                Banheiro","57
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 57m²"
R$ 297.000,Caraguatatuba,GOLFINHO,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","58
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 58m²"
"R$ 549.690
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Martim de Sa,Rua Hortência,83,"3
              

                Quartos","3
              

                Banheiros","126
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 126m²"
R$ 525.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,1010,"3
              

                Quartos","2
              

                Banheiros","108
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 108m²"
R$ 370.000,Caraguatatuba,GOLFINHO,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
"R$ 350.000
                    



                  Condomínio:
                  
                      R$ 300",Caraguatatuba,Martim de Sa,Rua Santa Rita do Passa Quatro,382,"2
              

                Quartos","1
              

                Banheiro","48
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 48m²"
R$ 460.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","102
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 102m²"
"R$ 349.490
                    



                  Condomínio:
                  
                      R$ 350",Caraguatatuba,Vila Balneario Santa Martha,Rua Santa Rita do Passa Quatro,100,"2
              

                Quartos","1
              

                Banheiro","48
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 48m²"
R$ 400.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,45,"2
              

                Quartos","3
              

                Banheiros","66
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 66m²"
